brain.1	fetal.brain.1	bg1	bg2
1388_g_at	65.8973920220725	31.5514158462427	0	0
1389_at	384.226445626339	428.644611166067	0	0
139_at	258.406602463088	113.27896888413	0	0
1390_s_at	206.204514522374	406.123467868635	0	0
1391_s_at	41.6798138368527	161.239248247731	0	0
1392_at	1411.63465002041	1327.29129889572	0	0
1393_at	32.4976591081829	97.3884987293324	0	0
1394_at	2028.23363730783	1897.30606812688	0	0
1395_at	1272.64812811049	1117.04353499688	0	0
1396_at	693.567825254611	677.087158921801	0	0
1397_at	508.446608812321	474.942880386166	0	0
1398_g_at	814.101436667857	737.025198382192	0	0
1399_at	3200.32702318266	1704.62365866262	0	0
140_s_at	478.365719093894	764.131406089213	0	0
1400_at	140.322069356403	178.879448827473	0	0
1401_g_at	288.954517073223	303.668738707349	0	0
1402_at	296.014206236238	182.263889152214	0	0
1403_s_at	109.035631359666	109.161647511392	0	0
1404_r_at	7.1600821360509	3.86536951639037	0	0
1405_i_at	30.217452309643	12.2564319790049	0	0
1406_at	64.1711021427154	95.2596582750753	0	0
1407_g_at	71.9965628686406	119.394436193299	0	0
1408_at	176.797446820107	58.303346753757	0	0
1409_at	605.395839440192	500.639356658571	0	0
141_s_at	144.249882487706	406.452436984428	0	0
1410_at	17.684857868678	11.3142755329062	0	0
1411_at	246.236651757047	240.908999307963	0	0
1412_g_at	50.6633106576502	36.2711953802263	0	0
1413_at	11.2167281833376	10.8921114020387	0	0
1414_at	21.4426297822821	19.9007121057422	0	0
1415_at	866.852312739	846.367286005883	0	0
1416_g_at	48.4572183409249	33.0000869449022	0	0
1417_at	28.7056219171004	13.1208929101465	0	0
1418_at	37.3382849885217	27.5527698465312	0	0
1419_g_at	150.536086661098	398.492231584088	0	0
142_at	28.6557865262143	282.652259339668	0	0
1420_s_at	12122.1500435219	12451.0282745169	0	0
1421_at	49.5560095235125	201.465046451538	0	0
1422_g_at	258.00330574299	521.64267875907	0	0
1423_at	232.713616506259	405.809700264603	0	0
1424_s_at	34331.9853765244	17651.7221970254	0	0
1425_at	30.5735519820349	50.4461485095644	0	0
