brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
1161_at	13.7579157849188	13.7595464528605	13.1343720225746	13.3187554877864	12.9576241332655	12.7018394710924	13.3829410592377	12.6017226560083
1162_g_at	8.71591096801751	8.96151220089141	7.99290133134526	8.07389729270208	8.48227488519726	8.23087670049487	6.75778031396632	8.67186687817542
1163_at	7.44637916848902	7.49728620040133	8.15621691642519	8.56391841656106	6.39408586136943	7.37462250153446	6.95150691875304	5.58156855304858
1164_at	7.12316179471727	7.11386645923956	8.66021677433208	8.76150877001371	7.53363950572152	6.6976494815609	5.34771063945341	6.40132538468685
1165_at	5.56685629044714	5.62075191266608	5.0705424153254	5.11418733783065	5.48927704688599	5.14978245039754	4.40973072395637	5.11420094251097
1166_at	11.0466850551388	11.0490661602512	10.7119684433622	10.5440712052894	10.9183927092683	11.608879068902	11.0531534328416	11.2476223189846
1167_s_at	9.32462805530841	9.777112598708	10.1458999048993	9.34458668236529	10.5743523516257	9.8239843432939	8.45001911796455	10.5774374599311
1168_at	6.91100241175915	6.31532659906774	6.53000572034486	6.000328776331	7.12049280097975	6.10810657882802	4.87767630237819	5.14679465518703
1169_at	9.13237036387708	8.38127821837256	7.6367039466177	8.0265066982587	7.75279169370557	7.69985561845421	8.74132822361979	10.0747719202116
117_at	8.33822192598332	7.33379259494121	8.51544629253181	7.55531619726841	11.4390958807375	11.5455920365748	8.04125896586373	8.95596741153911
1170_at	7.27867858446432	6.50437189888374	8.12754659453304	7.18161227423019	7.43186909929466	7.92819592607975	7.51139061258853	8.61987281480842
1171_s_at	6.4028843220733	7.3717991315091	8.70413873230508	8.32477395640679	5.88777046684544	5.59118183982127	5.81587816855102	5.75975740672741
1172_at	5.0891464340584	5.13002728616609	6.18902361903307	5.78920158121303	7.1148203737839	6.69046206552998	5.63433667554295	6.52554721360659
1173_g_at	11.0627316843149	10.4804195326567	10.5969831118938	10.6551024466266	12.8017203120771	12.6676081519393	12.0285202647431	11.7785733134308
1174_at	4.00508869065227	2.81686777502094	4.37867867908718	2.99979167120515	4.58288408194163	4.05161538953039	4.4076219166612	4.25071757266221
1175_s_at	4.00308137346868	5.38618339519088	3.13591445227996	3.11995191159108	8.28289543915189	7.06411844635839	14.1678165596155	14.0604348922754
1176_at	7.33667843025548	7.20354543963011	7.98553283355813	7.65896430457758	6.71162150263721	6.76955175499573	5.88282992980669	7.48332213407431
1177_at	6.24590360372748	6.49668620558478	6.78841303639891	6.12623359211128	7.95487339551668	4.82844248800245	4.8542103898567	6.68721929326596
1178_at	5.6178335631603	4.24376559064866	7.99475774737508	6.98528280811884	5.44082394963112	6.96331748098164	5.66368997617898	7.30778971303804
